10-HDAA 	9-HDA 	HOB	10-HDA 	HVA	9-ODA	Treatment	Honey.bee	Ovary stage
1.053182418	6.827992836	0.093554129	5.188900467	0	10.92071563	GFP	1	3
11.35741312	1.369213454	0.317562759	22.96644131	0	0.170857976	DSX	3	1
1.805634342	1.004088697	0.171888902	7.047940548	0	0	DSX	4	0
4.015257181	2.463641707	0.159675697	64.53305741	0	0	GFP	5	2
26.01730951	7.070913196	0.697832072	73.9052618	0	0	GFP	6	2
16.83467953	4.503246133	0.449922252	41.88119308	0	0	DSX	7	0
7.699418763	1.549964998	0.395912923	20.3937184	0	0	GFP	9	3
1.443849717	0.260441728	0.076142172	0	0.068505736	0	GFP	10	3
8.87564731	1.607123065	0.513665178	22.3982635	0	0	DSX	11	0
15.67064019	3.3475185	0.396273047	33.56975195	0	0	DSX	12	0
0.557960081	0.101620189	0.072200083	0	0	0	GFP	13	3
5.517836709	1.433703685	0.191971693	14.74738454	0	0	GFP	14	3
2.12037856	4.998658972	0.140717391	4.888653281	0	0.715102455	DSX	20	0
1.575069405	0.482629199	0.097010135	3.640212182	0	0	DSX	24	1
0.947132295	0.166939769	0.095276399	2.595477757	0	0	GFP	25	3
3.115635244	0.885268095	0	5.026010649	0	0	GFP	26	3
1.050730404	0.289198899	0.051499399	2.220403111	0	0	GFP	29	1
1.234975602	0.792319711	0.077809244	4.120770657	0	0	DSX	31	3
8.535245105	1.698495892	0.165251733	0	0	0	DSX	32	0
1.865361598	0.288752441	0.070321956	4.395143844	0	0.003699237	DSX	33	0
7.299797488	0.928377928	0.190154737	17.14142431	0.049170634	0	GFP	34	1
4.939193222	2.707209133	0.170576146	12.72149265	0	0.101554121	DSX	36	0
11.95019589	2.193106048	0.29984977	26.1911498	0	0	GFP	41	2
1.756626846	0.219884659	0	0	0	1.657213483	DSX	42	0
4.039877178	2.626176234	0.146068183	13.34798156	0.02938865	0.885321035	DSX	43	1
4.669045272	0.730435331	0.205209011	10.75426619	0	0	GFP	44	2
10.69083672	1.254901591	0.570817602	21.316854	0.042023415	0	DSX	46	3
9.124253899	1.173074573	0.329605774	20.36264045	0.039829669	0	GFP	53	0
11.30493146	1.766035319	0.243982793	22.51038979	0.046810798	0	DSX	54	3
6.028628558	0.94893486	0.218451567	0	0	0	DSX	55	0
4.904088959	1.189586799	0.26824982	13.06063793	0	0	GFP	57	0
4.292120747	0.638915912	0.146780002	0	0	0	DSX	58	3
4.820293894	0.676662473	0.151026231	0	0.045534451	0	DSX	59	0
5.17538912	0.557017098	0.190403253	12.75258473	0	0	DSX	61	1
