NM_001010975.1	Ant	ADP/ATP translocase
NM_001011562.1	Wat	worker-enriched antennal transcript
NM_001011563.1	Jhe	juvenile hormone esterase
NM_001011564.2	Mrjp8	major royal jelly protein 8
NM_001011565.1	Oa1	octopamine receptor
NM_001011566.1	Kr-h1	kruppel homolog 1
NM_001011567.1	DopR2	dopamine receptor 2
NM_001011568.1	Amih	hyperpolarization-activated ion channel
NM_001011570.1	Vha16	vacuolar H+ ATP synthase 16 kDa proteolipid subunit
NM_001011571.1	Antp	homeotic protein antennapedia
NM_001011572.1	Tsf1	transferrin 1
NM_001011573.1	Nmdar1	NMDA receptor 1
NM_001011574.1	LOC406081	glucose oxidase
NM_001011575.1	nAChRa8	nicotinic acetylcholine receptor alpha8 subunit
NM_001011576.1	Tk	tachykinin
NM_001011577.1	Dl	dorsal
NM_001011578.1	Vg	vitellogenin
NM_001011579.1	Mrjp1	major royal jelly protein 1
NM_001011580.1	Mrjp2	major royal jelly protein 2
NM_001011581.1	For	cGMP-dependent protein kinase foraging
NM_001011582.1	LOC406093	apisimin
NM_001011583.2	CSP3	chemosensory protein 3
NM_001011584.1	SP34	serine protease 34
NM_001011585.1	LOC406096	type I inositol 1,4,5-trisphosphate 5-phosphatase
NM_001011586.1	IF-2mt	translation initiation factor 2
NM_001011587.1	RpL32	ribosomal protein L32
NM_001011588.1	Obp5	odorant binding protein 5
NM_001011589.1	Obp4	odorant binding protein 4
NM_001011590.1	Obp1	odorant binding protein 1
NM_001011591.1	Obp2	odorant binding protein 2
NM_001011592.1	Tspan6	tetraspanin 6
NM_001011593.1	Obp6	odorant binding protein 6
NM_001011594.1	TyrR	tyramine receptor
NM_001011595.1	Dop1	dopamine receptor, D1
NM_001011596.1	Per	period circadian protein
NM_001011597.1	Eaat-2	excitatory amino acid transporter 2
NM_001011598.1	LOC406114	alpha-amylase
NM_001011599.1	Mrjp5	major royal jelly protein 5
NM_001011600.1	HEX70b	hexamerin 70b
NM_001011601.1	Mrjp3	major royal jelly protein 3
NM_001011602.1	Psq	pipsqueak
NM_001011603.1	Argk	arginine kinase
NM_001011604.3	Rps8	ribosomal protein S8
NM_001011605.1	Uvop	ultraviolet-sensitive opsin
NM_001011606.1	Blop	blue-sensitive opsin
NM_001011607.1	Melt	melittin
NM_001011608.1	Hbg3	alpha-glucosidase
NM_001011610.1	Mrjp4	major royal jelly protein 4
NM_001011611.2	Mcdp	mast cell-degranulating peptide
NM_001011612.1	Apamin	apamin protein
NM_001011613.1	Apid1	apidaecin 1
NM_001011614.1	Pla2	phospholipase A2
NM_001011615.1	LOC406142	hymenoptaecin
NM_001011616.2	Def1	defensin 1
NM_001011617.1	LOC406144	abaecin
NM_001011619.1	LOC406146	hyaluronoglucosaminidase
NM_001011620.1	LOC406147	short-chain dehydrogenase/reductase
NM_001011621.1	nAChRa7	nicotinic acetylcholine receptor alpha7 subunit
NM_001011622.1	Mrjp6	major royal jelly protein 6
NM_001011623.1	Glurb	metabotropic glutamate receptor B
NM_001011624.1	mGlutR1	metabotropic glutamate receptor 1
NM_001011625.2	nAChRa2	nicotinic acetylcholine receptor alpha2 subunit
NM_001011626.2	PRF	profilin
NM_001011627.1	PPO	phenoloxidase subunit A3
NM_001011628.2	Ef-1a-f1	translation elongation factor eEF-1 alpha chain
NM_001011629.1	Mblk-1	transcription factor mblk-1-like
NM_001011630.1	Fabp	fatty acid binding protein
NM_001011631.1	E74	ecdysteroid-regulated gene E74
NM_001011632.2	Gycbeta1	guanylate cyclase, soluble, beta 1
NM_001011633.1	TyHyd	tyrosine hydroxylase
NM_001011634.2	Usp	ultraspiracle
NM_001011635.1	Y-f	yellow-f
NM_001011636.1	Fabp	FABP-like protein
NM_001011637.1	Twi	twist
NM_001011638.1	Def2	defensin 2
NM_001011639.2	Lop1	long wavelength sensitive opsin 1
NM_001011640.1	JHBP-1	take-out-like carrier protein
NM_001011641.1	Ho	heme oxygenase
NM_001011643.1	Gat-1B	GABA neurotransmitter transporter-1B
NM_001011644.2	c-mos	mos protein
NM_001011650.1	sGC-alpha1	soluble guanylyl cyclase alpha 1 subunit
NM_001011652.1	TpnCIIIb	troponin C type IIIb
NM_001011653.1	TpnCIIa	troponin C type IIa
NM_001011654.1	TpnCIIb	troponin C type IIb
NM_001012429.1	LOC503505	venom protein 2
NM_001012615.1	crh-BP	corticotropin releasing hormone binding protein
NM_001012627.1	sGCbeta-3	soluble guanylyl cyclase beta-3
NM_001012962.1	NOS	nitric oxide synthase
NM_001012963.1	Crz	corazonin
NM_001013006.1	EphR	Eph receptor tyrosine kinase
NM_001013359.2	Acph-1	venom acid phosphatase
NM_001013361.1	18-w	18-wheeler
NM_001014429.1	Mrjp7	major royal jelly protein 7
NM_001014430.1	TpnCI	troponin C type I
NM_001014983.1	Dop3	D2-like dopamine receptor
NM_001014991.1	Dscam	Down syndrome cell adhesion molecule
NM_001014992.1	Ip3k	inositol 1,4,5-triphosphate kinase
NM_001014993.1	EF1a-F2	elongation factor 1-alpha F2
