gene_id,SRR3033249,SRR3033250,SRR3033251,SRR3033252,SRR3033253,SRR3033254,SRR3033255,SRR3033256,SRR3033257,SRR3033258,SRR3033259,SRR3033260,SRR3033261,SRR3033262,SRR3033263,SRR3033264,SRR3033265,SRR3033266,SRR3033267,SRR3033268,SRR3033269,SRR3033270,SRR3033271,SRR3033272,SRR3033273
LOC552277,502.55,363.95,184.04,354.42,391.66,458.62,422.06,304.11,303.31,254.60,493.66,452.87,326.03,173.33,135.79,213.41,734.36,604.37,492.17,463.56,496.43,230.49,380.12,525.78,426.84
LOC102655366,0.00,0.28,0.58,0.25,0.22,0.91,0.63,0.20,0.34,0.58,0.63,0.24,0.43,0.73,0.37,0.53,0.22,0.55,0.53,0.44,0.48,0.79,0.96,0.20,0.66
LOC102655367,0.00,0.00,0.11,0.00,0.00,0.00,0.07,0.00,0.09,0.00,0.00,0.06,0.32,0.14,0.00,0.10,0.17,0.21,0.20,0.00,0.35,0.24,0.00,0.00,0.00
LOC409639,50.60,31.21,52.94,30.86,21.75,19.37,8.94,25.71,24.34,58.46,23.52,11.62,23.53,51.90,16.68,36.86,27.98,29.30,40.04,34.88,57.13,43.94,19.84,13.74,19.62
LOC409638,315.99,674.80,1200.43,194.52,315.26,193.75,129.42,101.73,96.39,518.68,266.62,310.19,152.48,621.49,263.82,1539.37,298.01,183.73,468.30,415.51,643.03,172.38,192.64,598.52,275.72
LOC409633,0.21,0.27,1.43,0.00,0.66,1.40,0.18,0.21,0.66,1.75,0.80,0.94,0.43,2.38,0.72,0.65,3.87,1.87,0.78,0.85,2.15,1.86,0.42,0.40,0.44
Hex110,28759.91,4240.71,700.41,45520.12,19932.59,367.48,30831.48,22177.24,37261.83,7920.60,14945.54,37378.84,25443.10,2205.69,7807.18,335.51,612.90,238.43,14163.03,11023.75,2154.61,6213.28,25556.10,25229.32,29157.87
LOC409631,0.00,0.00,0.06,0.00,0.00,0.11,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.08,0.00,0.17,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00
LOC409637,843.40,1088.34,713.81,696.59,823.58,1211.76,382.44,937.07,481.22,896.59,1044.11,669.51,759.96,729.17,201.97,644.23,574.35,809.57,1032.72,905.30,821.45,579.22,814.16,1034.26,938.24
Gb15078,0.83,0.93,2.52,0.33,0.30,0.97,0.72,0.00,2.37,1.20,2.23,0.97,2.29,0.37,1.11,1.24,0.88,0.00,0.87,1.70,1.27,0.96,0.85,0.27,0.78
LOC409634,11.38,16.01,43.12,16.67,20.32,20.48,18.98,9.83,17.23,17.12,19.90,16.27,18.86,14.30,3.14,27.59,15.70,16.93,20.54,16.09,20.25,18.30,19.99,13.63,15.34
LOC411904,7.31,15.70,25.71,11.86,11.38,13.50,11.03,6.45,12.29,13.95,17.12,13.01,15.31,9.75,6.51,11.74,13.16,13.07,12.34,17.28,18.74,17.65,13.60,11.65,11.50
LOC411905,4.45,7.44,12.95,5.83,6.30,5.84,3.32,3.82,4.36,9.74,6.23,5.33,6.49,8.56,12.11,8.63,7.22,8.36,9.55,15.35,18.26,12.49,5.88,6.03,5.99
