gene_id,SRR3033249,SRR3033250,SRR3033251,SRR3033252,SRR3033253,SRR3033254,SRR3033255,SRR3033256,SRR3033257,SRR3033258,SRR3033259,SRR3033260,SRR3033261,SRR3033262,SRR3033263,SRR3033264,SRR3033265,SRR3033266,SRR3033267,SRR3033268,SRR3033269,SRR3033270,SRR3033271,SRR3033272,SRR3033273
LOC552277,2432.99,2634.91,1264.00,1446.85,1753.83,3530.32,4683.60,1487.67,2689.39,440.00,5462.29,5687.18,763.85,951.98,1105.21,1620.43,3349.88,2216.11,5604.73,4266.56,4119.75,1459.98,3569.65,5158.53,3875.75
LOC102655366,0.00,2.00,4.00,1.00,1.00,7.00,7.00,1.00,3.00,1.00,7.00,3.00,1.00,4.00,3.00,4.00,1.00,2.00,6.00,4.00,4.00,5.00,9.00,2.00,6.00
LOC102655367,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,3.00,0.00,4.00,2.00,0.00,0.00,0.00
LOC409639,346.99,320.00,512.27,178.00,138.00,210.99,140.00,178.00,304.00,143.00,368.00,206.02,78.00,402.30,192.00,395.94,180.00,152.00,645.99,455.00,670.00,392.00,263.00,191.00,252.00
LOC409638,5656.54,18955.25,27598.24,2727.62,5212.10,5617.09,5203.53,1870.71,3183.64,3299.60,11218.18,14595.48,1317.25,12997.99,8004.64,42434.03,4668.07,2416.70,20170.76,14271.81,19217.67,3975.66,6719.27,22610.06,9455.08
LOC409633,1.00,2.00,10.00,0.00,3.00,11.00,2.00,1.00,6.00,3.00,9.00,12.00,1.00,13.00,6.00,5.00,18.00,7.00,9.00,8.00,18.00,12.00,4.00,4.00,4.00
Hex110,350944.75,77390.84,12023.10,464917.74,222804.64,7054.52,858348.77,273821.89,827550.50,34519.25,417599.35,1176835.06,150024.43,30375.96,160901.11,6419.70,7009.43,2197.73,408386.47,256334.53,44706.36,97786.58,614022.98,627652.33,678212.19
LOC409631,0.00,0.00,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
LOC409637,2753.01,5313.36,3334.00,1925.00,2485.84,6298.95,2878.95,3095.02,2903.00,1046.00,7809.77,5700.37,1203.00,2715.85,1111.42,3304.72,1779.00,2005.00,7926.71,5611.13,4614.37,2496.26,5185.29,6836.52,5758.87
Gb15078,3.00,5.00,13.00,1.00,1.00,5.00,6.00,0.00,15.00,1.00,17.00,9.00,4.00,1.00,5.00,7.00,3.00,0.00,6.00,10.00,7.00,4.00,6.00,2.00,4.00
LOC409634,145.00,297.00,765.00,184.00,235.00,411.00,542.00,127.00,390.00,76.00,566.00,527.00,111.00,196.00,70.00,545.00,189.00,157.00,608.00,370.00,438.00,293.00,479.00,341.00,364.93
LOC411904,100.00,321.00,493.00,136.02,144.00,293.00,343.00,89.00,304.00,68.00,533.00,458.00,101.00,150.00,149.00,251.00,168.00,135.00,397.00,450.00,436.99,311.94,357.83,323.12,294.00
LOC411905,83.00,207.00,337.00,91.00,108.00,172.00,140.78,72.00,147.00,65.00,263.21,256.02,58.00,179.17,379.00,251.00,125.00,118.00,419.00,545.00,580.00,301.00,211.00,228.00,208.27
Syt1,84.41,109.82,150.95,81.36,125.42,68.68,98.76,44.05,112.47,23.37,102.64,88.04,27.78,78.85,34.85,84.21,39.86,40.68,94.62,52.92,61.76,84.85,80.45,53.50,61.11
