target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	901.914	6732	617.137
NM_001011562.1	863	513.914	114.878	18.482
NM_001011563.1	2084	1734.91	8900	424.146
NM_001011564.2	1326	976.914	396.982	33.5983
NM_001011565.1	3023	2673.91	22.3406	0.690798
NM_001011566.1	1503	1153.91	28.9207	2.07223
NM_001011567.1	4030	3680.91	0	0
NM_001011568.1	2077	1727.91	0	0
NM_001011570.1	582	235.615	2616	917.991
NM_001011571.1	2093	1743.91	0	0
NM_001011572.1	2346	1996.91	7685	318.191
NM_001011573.1	3160	2810.91	0	0
NM_001011574.1	1940	1590.91	3	0.155911
NM_001011575.1	2163	1813.91	136	6.19905
NM_001011576.1	1195	845.914	6	0.586446
NM_001011577.1	2389	2039.91	177.477	7.19337
NM_001011578.1	5441	5091.91	7230	117.398
NM_001011579.1	1430	1080.91	36	2.75369
NM_001011580.1	1544	1194.91	26.2922	1.81926
NM_001011581.1	2439	2089.91	86	3.4023
NM_001011582.1	356	82.5671	2	2.00275
NM_001011583.2	635	286.593	66312	19130.6
NM_001011584.1	1606	1256.91	6	0.394683
NM_001011585.1	1638	1288.91	0	0
NM_001011586.1	2205	1855.91	200	8.90995
NM_001011587.1	496	161.603	244.665	125.178
NM_001011588.1	724	374.95	15	3.30766
NM_001011589.1	624	275.839	543	162.76
NM_001011590.1	574	228.164	0	0
NM_001011591.1	584	237.49	0	0
NM_001011592.1	1590	1240.91	1941.23	129.342
NM_001011593.1	548	204.611	2	0.808174
NM_001011594.1	4195	3845.91	5	0.107491
NM_001011595.1	2818	2468.91	9.75178	0.326574
NM_001011596.1	4100	3750.91	428	9.4343
NM_001011597.1	2673	2323.91	3.12354	0.11113
NM_001011598.1	1624	1274.91	1696	109.989
NM_001011599.1	1942	1592.91	18	0.934293
NM_001011600.1	2052	1702.91	114	5.53497
NM_001011601.1	1830	1480.91	23.1505	1.29251
NM_001011602.1	2795	2445.91	15	0.507053
NM_001011603.1	1683	1333.91	1028.7	63.7621
NM_001011604.3	685	336.058	806.251	198.362
NM_001011605.1	1448	1098.91	170	12.7905
NM_001011606.1	1757	1407.91	0	0
NM_001011607.1	374	89.7548	3540	3260.98
NM_001011608.1	1873	1523.91	218.957	11.8796
NM_001011610.1	1612	1262.91	9.20206	0.602441
NM_001011611.2	369	87.6815	236	222.54
NM_001011612.1	304	65.6468	0	0
NM_001011613.1	710	360.974	116.748	26.7409
NM_001011614.1	688	339.044	220	53.65
NM_001011615.1	664	315.198	1292	338.908
NM_001011616.2	680	331.084	6742	1683.66
NM_001011617.1	374	89.7548	123	113.305
NM_001011619.1	1559	1209.91	5.19959	0.355318
NM_001011620.1	957	607.914	3	0.408021
NM_001011621.1	3254	2904.91	11.0989	0.3159
NM_001011622.1	1529	1179.91	5	0.350367
NM_001011623.1	3376	3026.91	0	0
NM_001011624.1	4969	4619.91	13.5487	0.242475
NM_001011625.2	1940	1590.91	0	0
NM_001011626.2	755	405.925	859.815	175.131
NM_001011627.1	2520	2170.91	324	12.3397
NM_001011628.2	1386	1036.91	1.17799	0.0939291
NM_001011629.1	14440	14090.9	247.076	1.44975
NM_001011630.1	630	281.697	4108.9	1206
NM_001011631.1	1741	1391.91	0	0
NM_001011632.2	2009	1659.91	0	0
NM_001011633.1	1533	1183.91	1.15757	0.0808409
NM_001011634.2	3754	3404.91	6.12145	0.148645
NM_001011635.1	1447	1097.91	465	35.0177
NM_001011636.1	570	224.471	1214	447.158
NM_001011637.1	1369	1019.91	5.74441	0.465677
NM_001011638.1	584	237.49	11	3.82957
NM_001011639.2	1806	1456.91	1	0.0567504
NM_001011640.1	991	641.914	648.711	83.556
NM_001011641.1	970	620.914	103.848	13.8283
NM_001011643.1	2378	2028.91	9.47879	0.386271
NM_001011644.2	1200	850.914	40.4444	3.92985
NM_001011650.1	2242	1892.91	2	0.0873579
NM_001011652.1	462	137.27	168	101.19
NM_001011653.1	450	129.481	270	172.409
NM_001011654.1	447	127.6	4	2.59186
NM_001012429.1	672	323.134	1524.03	389.954
NM_001012615.1	1097	747.914	138	15.2556
NM_001012627.1	3153	2803.91	6	0.176925
NM_001012962.1	3606	3256.91	41	1.04083
NM_001012963.1	502	166.23	0	0
NM_001013006.1	2991	2641.91	0	0
NM_001013359.2	1964	1614.91	149.41	7.64948
NM_001013361.1	4113	3763.91	3	0.0658999
NM_001014429.1	1427	1077.91	523	40.1163
NM_001014430.1	438	122.118	0	0
NM_001014983.1	3250	2900.91	0	0
NM_001014991.1	7242	6892.91	0	0
NM_001014992.1	2272	1922.91	22.5238	0.968466
NM_001014993.1	1386	1036.91	0	0
NM_001014994.1	1892	1542.91	3046	163.227
NM_001024697.1	1793	1443.91	1682.37	96.335
NM_001032361.1	3585	3235.91	0	0
NM_001037318.2	2515	2165.91	17	0.648949
NM_001039968.1	1349	999.914	0	0
NM_001040203.1	644	295.437	1	0.279858
NM_001040204.1	793	443.916	37.5342	6.99083
NM_001040205.1	698	349.006	4203.63	995.85
NM_001040206.1	682	333.073	27156.4	6741.19
NM_001040207.1	1179	829.914	16331	1626.98
NM_001040220.1	483	151.912	26	14.1509
NM_001040221.1	459	135.283	3651.78	2231.85
NM_001040223.1	555	210.841	54165	21240.6
NM_001040224.1	399	101.066	977	799.268
NM_001040225.1	407	105.035	0	0
NM_001040226.1	432	118.595	1	0.697168
NM_001040227.1	724	374.95	1029.22	226.955
NM_001040229.1	453	131.388	0	0
NM_001040230.1	13107	12757.9	127	0.823052
NM_001040231.1	363	85.2722	0	0
NM_001040233.1	1647	1297.91	54856.4	3494.49
NM_001040234.1	1500	1150.91	3492	250.862
NM_001040235.2	6077	5727.91	0	0
NM_001040236.1	1767	1417.91	29916	1744.44
NM_001040237.1	5107	4757.91	167	2.90204
NM_001040255.1	1893	1543.91	16.719	0.895342
NM_001040256.1	767	417.921	0	0
NM_001040257.1	1554	1204.91	7.71238	0.529219
NM_001040258.1	1250	900.914	10.6764	0.979818
NM_001040259.1	1743	1393.91	2161	128.18
NM_001040262.2	438	122.118	4	2.70822
NM_001040263.1	1550	1200.91	961.856	66.2218
NM_001040264.1	1600	1250.91	163	10.7737
NM_001040265.1	1689	1339.91	69.8761	4.31176
NM_001040266.2	1599	1249.91	0	0
NM_001040267.1	1895	1545.91	93	4.97394
NM_001040269.1	1397	1047.91	6.07828	0.479576
NM_001040270.1	509	171.748	1183.77	569.875
NM_001040277.1	2150	1800.91	45.2902	2.07928
NM_001040681.1	2499	2149.91	146	5.61481
NM_001042458.1	1737	1387.91	7	0.417002
NM_001042460.1	1794	1444.91	802.948	45.9461
NM_001077808.1	5328	4978.91	2.52273	0.0418928
NM_001077809.1	1344	994.914	0	0
NM_001077810.1	354	81.8145	0	0
NM_001077811.1	1287	937.914	0	0
NM_001077812.1	1470	1120.91	0	0
NM_001077813.1	3226	2876.91	76.7306	2.20518
NM_001077814.1	387	95.4353	0	0
NM_001077815.1	1855	1505.91	0	0
NM_001077816.1	1530	1180.91	0	0
NM_001077817.1	1194	844.914	3.40587	0.333287
NM_001077818.1	1707	1357.91	2.3636e-08	1.43914e-09
NM_001077819.1	378	91.4575	9.3494	8.45215
NM_001077820.1	351	80.7023	188	192.608
NM_001077821.1	4097	3747.91	6	0.132362
NM_001077822.1	1533	1183.91	0	0
NM_001077823.2	516	177.39	543	253.089
NM_001077824.1	1842	1492.91	5	0.27691
NM_001077825.1	1158	808.914	15	1.53318
NM_001078661.1	315	68.801	0	0
NM_001079560.1	1607	1257.91	0	0
NM_001079561.1	1701	1351.91	0	0
